continent,Country,Name,Age,Fifa Score,Club,Value,Salary
Europe,Germany,T. Pachonik,22,66,Carpi,850000.0,1000.0
Europe,Denmark,A. Riel,26,66,Aarhus GF,775000.0,5000.0
Europe,Sweden,M. Danielsson,28,66,GIF Sundsvall,575000.0,2000.0
Africa,Ghana,J. Dodoo,22,66,Charlton Athletic,1000000.0,13000.0
South America,Brazil,Edenildo Lagoas,29,66,São Paulo Futebol Clube,475000.0,8000.0
South America,Colombia,J. Alvarez,30,66,Alianza Petrolera,600000.0,1000.0
Europe,Germany,O. Husing,24,66,Hansa Rostock,725000.0,1000.0
Europe,Germany,M. Dittgen,22,66,SV Wehen Wiesbaden,900000.0,4000.0
Europe,Germany,D. Frick,27,66,FSV Zwickau,625000.0,1000.0
North America,Mexico,E. Pimentel,27,66,Puebla,550000.0,13000.0
South America,Colombia,I. Velez,32,66,CD America de Cali,350000.0,1000.0
Oceania,Australia,A. Grant,23,66,Perth Glory,825000.0,2000.0
Europe,France,G. Berthier,21,66,Stade de Reims,1000000.0,2000.0
Europe,Denmark,S. Jakobsen,26,66,Silkeborg IF,725000.0,3000.0
Europe,Sweden,K. Holmberg,24,66,IFK Norrköping,875000.0,2000.0
Europe,Spain,Salva Ruiz,22,66,Valencia CF,725000.0,6000.0
Europe,Netherlands,M. Vlap,20,66,SC Heerenveen,1000000.0,3000.0
Europe,Portugal,Romario Balde,20,66,Lechia Gdańsk,950000.0,2000.0
Europe,Netherlands,M. Massop,23,66,Excelsior,725000.0,3000.0
Europe,Netherlands,S. Nijland,28,66,PEC Zwolle,675000.0,4000.0
Europe,Germany,C. Nothe,29,66,DSC Arminia Bielefeld,625000.0,3000.0
Europe,Italy,D. Gasparetto,29,66,Ternana,500000.0,1000.0
Oceania,Australia,S. Neville,28,66,Perth Glory,500000.0,3000.0
Europe,Germany,R. Wolf,29,66,Fortuna Düsseldorf,425000.0,6000.0
Africa,Gambia,P. Dibba,29,66,Hammarby IF,650000.0,2000.0
Europe,France,A. Rafetraniaina,20,66,OGC Nice,925000.0,6000.0
Europe,France,L. Badiashile,19,66,AS Monaco,825000.0,3000.0
Europe,Netherlands,J. Reimerink,27,66,VfL Osnabrück,675000.0,1000.0
Europe,Germany,T. Schulz,32,66,VfR Aalen,350000.0,1000.0
South America,Colombia,L. Escalante,25,66,CPD Junior Barranquilla,825000.0,1000.0
South America,Argentina,A. Bouzat,23,66,Boca Juniors,950000.0,6000.0
South America,Colombia,E. Gonzalez,35,66,Jaguares Fútbol Club,140000.0,1000.0
North America,Mexico,A. Portales,21,66,Monterrey,750000.0,10000.0
Europe,Serbia,A. Kovacevic,25,66,FK Haugesund,675000.0,1000.0
Europe,Germany,C. Quiring,26,66,Hansa Rostock,750000.0,1000.0
Europe,France,D. Leon,24,66,Stade Brestois 29,675000.0,1000.0
Europe,Denmark,J. Bge,27,66,Hobro IK,600000.0,3000.0
Europe,Netherlands,H. Dijkhuizen,25,66,Roda JC Kerkrade,650000.0,3000.0
South America,Colombia,D. Balanta,23,66,CPD Junior Barranquilla,825000.0,1000.0
Europe,Netherlands,N. Alblas,22,66,Ajax,675000.0,2000.0
Europe,France,M. Niakhate,21,66,FC Metz,975000.0,3000.0
South America,Colombia,N. Benedetti,20,66,Asociacion Deportivo Cali,1200000.0,1000.0
Europe,Ukraine,B. Tashchy,23,66,MSV Duisburg,900000.0,2000.0
Europe,France,M. Cafaro,20,66,Stade de Reims,1400000.0,2000.0
Africa,Gambia,P. Jagne,27,66,FC Zürich,525000.0,4000.0
Europe,Netherlands,L. Burnet,26,66,Excelsior,650000.0,3000.0
South America,Colombia,Y. Gonzalez,22,66,CPD Junior Barranquilla,850000.0,1000.0
South America,Colombia,C. Giraldo,27,66,Tigres FC,550000.0,1000.0
Europe,Netherlands,D. van Bruggen,21,66,VVV-Venlo,825000.0,3000.0
Europe,Germany,P. Ochs,20,66,TSG 1899 Hoffenheim,1400000.0,7000.0
Europe,Italy,M. Defendi,31,66,Ternana,550000.0,1000.0
North America,Mexico,P. Sisniega,21,66,Real Sociedad,750000.0,4000.0
South America,Venezuela,Jeffren,29,66,Grasshopper Club Zürich,625000.0,6000.0
Europe,Spain,Pulido,26,66,SD Huesca,650000.0,3000.0
Asia,Saudi Arabia,S. Al Muwallad,26,66,Al Ahli,625000.0,10000.0
Europe,Finland,E. Markkanen,25,66,SG Dynamo Dresden,825000.0,3000.0
South America,Colombia,D. Gomez,25,66,Águilas Doradas,775000.0,1000.0
Europe,Belgium,D. Rigo,18,66,PSV,1300000.0,3000.0
Europe,Austria,R. Windbichler,26,66,Ulsan Hyundai Horang-i,650000.0,2000.0
Europe,Italy,A. Almici,24,66,Cremonese,700000.0,6000.0
South America,Argentina,P. Aguilar,32,66,San Martín de San Juan,350000.0,3000.0
South America,Argentina,N. Bertocchi,28,66,Club Atlético Tigre,650000.0,4000.0
Europe,Italy,F. Scaglia,25,66,Cittadella,775000.0,1000.0
South America,Colombia,C. Carrillo,24,66,Jaguares Fútbol Club,775000.0,1000.0
Europe,Poland,A. Kokoszka,30,66,Śląsk Wrocław,475000.0,2000.0
Europe,Slovenia,H. Vuckic,24,66,FC Twente,825000.0,3000.0
Europe,Estonia,E. Jaager,32,66,Vålerenga Fotball,375000.0,2000.0
Europe,Spain,Bustos,34,66,Lorca Deportiva CF,200000.0,3000.0
South America,Brazil,Hebert,26,66,Piast Gliwice,650000.0,2000.0
Europe,Poland,J. Jach,23,66,Zagłębie Lubin,825000.0,2000.0
South America,Argentina,N. Stefanelli,23,66,AIK Solna,950000.0,3000.0
Europe,Poland,J. Kubicki,21,66,Zagłębie Lubin,775000.0,2000.0
Europe,Spain,Juan Camara,23,66,CF Reus Deportiu,875000.0,27000.0
Oceania,Australia,C. Oikonomidis,22,66,Lazio,1000000.0,10000.0
Africa,Tunisia,E. Hajri,34,66,MSV Duisburg,200000.0,2000.0
South America,Brazil,Chris Farminhao,33,66,Atlético Clube Goianiense,260000.0,4000.0
North America,Mexico,E. Resendez,21,66,Monterrey,875000.0,7000.0
Europe,Sweden,D. Widgren,23,66,Östersunds FK,725000.0,2000.0
Europe,Germany,A. Muhling,24,66,Holstein Kiel,800000.0,4000.0
South America,Colombia,C. Giraldo,37,66,Deportivo Pasto,90000.0,1000.0
Europe,Italy,A. D'Angelo,31,66,Avellino,550000.0,2000.0
Europe,Italy,D. Moro,35,66,Cremonese,270000.0,1000.0
Asia,Saudi Arabia,H. Bahebri,24,66,Al Shabab,825000.0,8000.0
Europe,Serbia,M. Poletanovic,23,66,FC Tosno,750000.0,5000.0
Europe,Italy,S. Sabelli,24,66,Bari,700000.0,1000.0
Europe,Poland,M. Konczkowski,23,66,Piast Gliwice,725000.0,2000.0
Oceania,Australia,A. Jovanovic,27,66,Jeju United FC,550000.0,2000.0
Africa,Senegal,C. Diedhiou,29,66,Royal Excel Mouscron,500000.0,4000.0
South America,Colombia,L. Ospina,26,66,Alianza Petrolera,675000.0,1000.0
Europe,Poland,R. Boguski,33,66,Wisła Kraków,400000.0,3000.0
South America,Argentina,F. Fragapane,24,66,Unión de Santa Fe,850000.0,4000.0
Europe,Belgium,S. Miangue,20,66,Cagliari,900000.0,9000.0
Europe,Ukraine,T. Romanchuk,25,66,Jagiellonia Białystok,650000.0,3000.0
Europe,France,Y. Marillat,22,66,Nîmes Olympique,800000.0,1000.0
Oceania,Australia,J. Donachie,24,66,Melbourne Victory,725000.0,2000.0
South America,Argentina,M. Orihuela,25,66,Club Atlético Tigre,675000.0,4000.0
Europe,Germany,B. Schulz,31,66,VfL Osnabrück,425000.0,1000.0
Oceania,Australia,R. Williams,23,66,Rotherham United,900000.0,3000.0
South America,Colombia,D. Asprilla,25,66,Portland Timbers,800000.0,3000.0
Europe,France,F. Miguel,20,66,Tours FC,1000000.0,2000.0
Asia,Saudi Arabia,A. Awaji,27,66,Al Ahli,675000.0,10000.0
Europe,Germany,K. Broll,21,66,SG Sonnenhof Großaspach,750000.0,1000.0
Europe,Iceland,B. Svarsson,32,66,Hammarby IF,350000.0,2000.0
Europe,Luxembourg,C. Philipps,23,66,FC Metz,775000.0,4000.0
South America,Colombia,J. Quinones,20,66,Lobos de la BUAP,1100000.0,14000.0
Oceania,Australia,J. Hingert,26,66,Brisbane Roar,650000.0,2000.0
Oceania,Australia,B. Ibini,24,66,Vancouver Whitecaps FC,800000.0,2000.0
Europe,Germany,B. Saller,24,66,SSV Jahn Regensburg,725000.0,3000.0
South America,Brazil,Mateus Goncalves,22,66,Deportivo Toluca,950000.0,5000.0
South America,Colombia,F. Micolta,27,66,Puebla,750000.0,3000.0
Europe,Sweden,A. Cajtoft,23,66,Jönköpings Södra IF,750000.0,1000.0
Europe,Portugal,Benny,20,66,CF Os Belenenses,1000000.0,2000.0
South America,Colombia,F. Banguero,28,66,CD Los Millionarios Bogota,500000.0,1000.0
Asia,Japan,H. Iikura,31,66,Yokohama F. Marinos,400000.0,2000.0
Oceania,Australia,T. Antonis,23,66,VVV-Venlo,850000.0,3000.0
Europe,Germany,J. Riedel,25,66,Hansa Rostock,675000.0,1000.0
Europe,Germany,O. Hein,27,66,SSV Jahn Regensburg,600000.0,3000.0
Asia,Turkey,T. Yalcner,30,66,Alanyaspor,475000.0,4000.0
Europe,Denmark,B. Kadrii,25,66,Randers FC,775000.0,6000.0
Africa,Senegal,B. Gueye,22,66,Sint-Truidense VV,900000.0,10000.0
South America,Chile,S. Adelos,29,66,Curicó Unido,500000.0,1000.0
Europe,Montenegro,A. Scekic,25,66,Gençlerbirliği SK,650000.0,5000.0
North America,Mexico,O. Mendoza,28,66,Cruz Azul,500000.0,8000.0
Europe,Sweden,J. Ring,25,66,Kalmar FF,700000.0,2000.0
Europe,Germany,B. Girth,25,66,SV Meppen,850000.0,1000.0
Europe,Netherlands,T. Ondaan,23,66,PEC Zwolle,850000.0,3000.0
Europe,Spain,Andreu,34,66,Perth Glory,200000.0,3000.0
Europe,Germany,J. Brinkies,24,66,FSV Zwickau,700000.0,1000.0
Europe,Germany,L. Frode,22,66,MSV Duisburg,825000.0,2000.0
Oceania,Australia,V. Janjetovic,29,66,Western Sydney Wanderers,425000.0,2000.0
Europe,France,M. Maolida,18,66,Olympique Lyonnais,1300000.0,10000.0
Europe,Germany,D. Grote,30,66,Chemnitzer FC,600000.0,1000.0
Europe,Germany,P. Herrmann,29,66,Holstein Kiel,475000.0,4000.0
Europe,Italy,L. Martinelli,28,66,Foggia,525000.0,2000.0
Europe,Czech Republic,T. Cerny,32,66,Partick Thistle F.C.,375000.0,2000.0
Europe,France,L. Nganioni,22,66,Olympique Lyonnais,725000.0,12000.0
Europe,Austria,M. Kobras,31,66,SCR Altach,400000.0,4000.0
Europe,Germany,P. Heerwagen,34,66,FC St. Pauli,260000.0,4000.0
Asia,Saudi Arabia,A. Al Sahabi,30,66,Al Ahli,475000.0,10000.0
Asia,Japan,Y. Tasaka,31,66,Kawasaki Frontale,425000.0,3000.0
Europe,Germany,R. Ache,18,66,Sparta Rotterdam,1100000.0,2000.0
Europe,Germany,S. Schuppan,30,66,Würzburger FV,475000.0,1000.0
Africa,Ghana,Y. Yeboah,20,66,Real Oviedo,1100000.0,3000.0
Asia,Saudi Arabia,Y. Al Salem,32,66,Ettifaq FC,525000.0,5000.0
Asia,Saudi Arabia,S. Al Sawadi,24,66,Al Raed,875000.0,6000.0
South America,Brazil,Wescley,25,66,Vissel Kobe,800000.0,2000.0
South America,Uruguay,D. Zabala,25,66,Unión de Santa Fe,775000.0,4000.0
Europe,Germany,S. Ruprecht,30,66,SV Wehen Wiesbaden,475000.0,1000.0
South America,Argentina,E. Olivera,27,66,Colon de Santa Fe,650000.0,3000.0
Europe,Poland,P. Brozek,34,66,Wisła Kraków,350000.0,3000.0
Europe,Germany,A. Wiegel,25,66,MSV Duisburg,775000.0,2000.0
Europe,Germany,P. Weihrauch,23,66,DSC Arminia Bielefeld,850000.0,2000.0
Africa,Cameroon,A. Teikeu,27,66,FC Sochaux-Montbéliard,625000.0,3000.0
South America,Colombia,W. Diaz,39,66,Jaguares Fútbol Club,40000.0,1000.0
Europe,Italy,M. Sprocati,23,66,Salernitana,875000.0,2000.0
South America,Brazil,Yann,22,66,Aalborg BK,900000.0,4000.0
South America,Brazil,Adryan Limeira,25,66,Associação Atlética Ponte Preta,725000.0,5000.0
South America,Argentina,T. Pochettino,21,66,Defensa y Justicia,1100000.0,5000.0
Asia,Saudi Arabia,A. Kurdy,25,66,Al Ahli,675000.0,9000.0
South America,Argentina,A. Arregui,24,66,Temperley,675000.0,3000.0
South America,Argentina,L. Perdomo,20,66,Gimnasia y Esgrima La Plata,925000.0,3000.0
Europe,Germany,M. Roser,26,66,Hallescher FC,700000.0,1000.0
Europe,Norway,F. Ulvestad,25,66,Burnley,800000.0,13000.0
Europe,Portugal,Ricardo Vaz,22,66,CF Reus Deportiu,1100000.0,2000.0
Europe,Germany,R. Eckardt,27,66,FC Carl Zeiss Jena,675000.0,1000.0
Europe,Norway,F. Kippe,39,66,Lillestrøm SK,40000.0,1000.0
North America,Montserrat,L. Taylor,27,66,AFC Wimbledon,750000.0,3000.0
South America,Argentina,D. Martinez,27,66,Unión de Santa Fe,600000.0,5000.0
Europe,Spain,Luis Fernandez,23,66,RC Deportivo de La Coruña,875000.0,6000.0
North America,Mexico,C. Calvo,24,66,Deportivo Toluca,675000.0,4000.0
Europe,Spain,Yelko Pino,20,66,C.D. Leonesa S.A.D.,950000.0,2000.0
Africa,Nigeria,B. Innocent,21,66,Malmö FF,925000.0,2000.0
Europe,Spain,Jano,30,66,SV Mattersburg,475000.0,6000.0
Asia,Japan,J. Amano,25,66,Yokohama F. Marinos,775000.0,3000.0
Europe,Germany,K. Kunz,25,66,Chemnitzer FC,575000.0,1000.0
Europe,Sweden,E. Larsson,25,66,GIF Sundsvall,650000.0,1000.0
Africa,Cameroon,J. Castelletto,22,66,Stade Brestois 29,750000.0,2000.0
Europe,Spain,Ivan Garrido,27,66,C.D. Leonesa S.A.D.,650000.0,3000.0
Africa,South Africa,D. Cardoso,28,66,Kaizer Chiefs,575000.0,1000.0
South America,Brazil,Danilo Sacrio,25,66,Clube Atlético Paranaense,725000.0,5000.0
Europe,Hungary,T. Szanto,21,66,SK Rapid Wien,1000000.0,5000.0
Europe,Italy,N. Ravaglia,28,66,Cremonese,525000.0,1000.0
South America,Uruguay,J. Ardaiz,18,66,Royal Antwerp FC,1300000.0,3000.0
South America,Colombia,I. Rivas,29,66,Tigres FC,500000.0,1000.0
Europe,France,J. Hartock,30,66,US Quevilly-Rouen,425000.0,2000.0
South America,Brazil,Nildo Reisao,33,66,Fluminense Football Club,260000.0,9000.0
Europe,Iceland,E. Jonsson,28,66,SønderjyskE,525000.0,4000.0
South America,Colombia,V. Zapata,31,66,Jaguares Fútbol Club,575000.0,1000.0
South America,Colombia,H. Obando,24,66,Atlético Bucaramanga,750000.0,1000.0
Europe,Austria,C. Stankovic,24,66,FC Red Bull Salzburg,625000.0,5000.0
South America,Uruguay,H. Pereira,30,66,Club Atlético Tigre,475000.0,4000.0
South America,Brazil,Emilio Trevoes,29,66,Atlético Clube Goianiense,650000.0,5000.0
Europe,Norway,B. Finne,22,66,Vålerenga Fotball,1000000.0,2000.0
Asia,Turkey,B. Emir,29,66,Alanyaspor,475000.0,4000.0
Europe,Austria,B. Prokopic,29,66,SCR Altach,625000.0,5000.0
Europe,Italy,A. Pomini,36,66,Palermo,90000.0,1000.0
South America,Argentina,H. Bernardello,30,66,Montreal Impact,475000.0,2000.0
South America,Uruguay,N. Mezquida,25,66,Vancouver Whitecaps FC,775000.0,3000.0
Europe,Spain,Nico Hidalgo,25,66,Cádiz C.F.,800000.0,3000.0
Europe,France,B. Chardonnet,22,66,Stade Brestois 29,975000.0,2000.0
Europe,Norway,M. Njie,21,66,Stabæk Fotball,950000.0,1000.0
North America,Mexico,A. Briseno,23,66,CD Feirense,725000.0,3000.0
Europe,Belgium,O. Myny,22,66,Waasland-Beveren,875000.0,3000.0
Europe,Switzerland,D. Hediger,30,66,FC Thun,600000.0,5000.0
Europe,Germany,S. Wannenwetsch,25,66,Hansa Rostock,775000.0,1000.0
Europe,Austria,M. Gspurning,36,66,1. FC Union Berlin,90000.0,4000.0
South America,Brazil,Renan Tojeiras,33,66,São Paulo Futebol Clube,260000.0,7000.0
Europe,Greece,A. Katranis,19,66,AS Saint-Étienne,975000.0,4000.0
Europe,Poland,G. Wojtkowiak,33,66,Lechia Gdańsk,250000.0,3000.0
Europe,Italy,S. Luperto,20,66,Empoli,1300000.0,10000.0
South America,Colombia,B. Angulo,23,66,CD America de Cali,800000.0,1000.0
Europe,Netherlands,K. van Veen,26,66,Scunthorpe United,800000.0,4000.0
Africa,Togo,P. Segbefia,26,66,Göztepe,750000.0,5000.0
Europe,Germany,D. Mast,25,66,Würzburger FV,775000.0,1000.0
Europe,France,L. Abergel,24,66,AS Nancy Lorraine,775000.0,2000.0
North America,Mexico,F. Canales,30,66,Lobos de la BUAP,425000.0,2000.0
Europe,Italy,S. Scappini,29,66,Cremonese,650000.0,2000.0
Europe,Austria,S. Nutz,25,66,SCR Altach,800000.0,5000.0
Africa,Senegal,R. Coly,21,66,OGC Nice,900000.0,6000.0
South America,Brazil,Dilson Calegari,33,66,Clube Atlético Paranaense,400000.0,5000.0
Europe,Croatia,G. Paracki,30,66,Wellington Phoenix,475000.0,2000.0
Europe,Croatia,M. Pajac,24,66,Perugia,900000.0,11000.0
Europe,Norway,V. Skjerve,29,66,FK Haugesund,500000.0,2000.0
Europe,Denmark,T. Brochmann,27,66,Stabæk Fotball,675000.0,2000.0
Europe,Austria,A. Leitner,23,66,FC Admira Wacker Mödling,625000.0,2000.0
Europe,Austria,P. Zulechner,27,66,SK Sturm Graz,675000.0,7000.0
Europe,Germany,M. Niemeyer,21,66,1. FC Magdeburg,950000.0,1000.0
Africa,Senegal,O. N'Diaye,25,66,Gençlerbirliği SK,700000.0,5000.0
South America,Uruguay,A. Navarro,32,66,Puebla,525000.0,3000.0
South America,Argentina,G. Maroni,18,66,Boca Juniors,1300000.0,4000.0
Europe,Portugal,Bruno Wilson,20,66,SC Braga,825000.0,3000.0
Europe,Portugal,Joao Vasco,22,66,Tondela,925000.0,2000.0
Europe,Spain,Bernabe,24,66,Gimnàstic de Tarragona,700000.0,2000.0
Europe,Netherlands,A. van Peppen,32,66,Roda JC Kerkrade,350000.0,3000.0
South America,Uruguay,A. Luna,25,66,Tiburones Rojos de Veracruz,775000.0,3000.0
Europe,Netherlands,P. van Moorsel,27,66,Sparta Rotterdam,750000.0,4000.0
Europe,Germany,F. Holthaus,22,66,Hansa Rostock,800000.0,1000.0
Europe,France,G. Paquiez,23,66,Nîmes Olympique,850000.0,1000.0
Europe,Belgium,J. Legear,30,66,Sint-Truidense VV,600000.0,4000.0
South America,Colombia,M. Manotas,21,66,Houston Dynamo,900000.0,2000.0
Europe,Montenegro,S. Haksabanovic,18,66,West Ham United,1300000.0,12000.0
Africa,Mozambique,Gildo,22,66,CS Marítimo,1000000.0,3000.0
Europe,Netherlands,A. El Khayati,28,66,ADO Den Haag,650000.0,4000.0
Europe,Germany,M. Sowislo,34,66,1. FC Magdeburg,325000.0,1000.0
Europe,Austria,M. Sollbauer,27,66,Wolfsberger AC,625000.0,4000.0
Europe,Portugal,Tomas Podstawski,22,66,Vitória Setúbal,900000.0,2000.0
South America,Colombia,Y. Mena,25,66,Alianza Petrolera,825000.0,1000.0
North America,Mexico,F. Acuna,29,66,Puebla,625000.0,3000.0
Europe,Czech Republic,R. Dejmek,29,66,Korona Kielce,500000.0,2000.0
South America,Argentina,M. Tevez,20,66,Newell's Old Boys,1100000.0,4000.0
Europe,Austria,T. Kayhan,27,66,Göztepe,525000.0,5000.0
Asia,Saudi Arabia,A. Al Kassar,26,66,Ettifaq FC,575000.0,4000.0
South America,Colombia,A. Figueroa,29,66,CD Los Millionarios Bogota,500000.0,2000.0
South America,Colombia,J. Gomez,21,66,CPD Junior Barranquilla,1000000.0,1000.0
Asia,Saudi Arabia,A. Zain,25,66,Al Ahli,700000.0,10000.0
South America,Argentina,D. Drocco,28,66,Arsenal de Sarandí,650000.0,4000.0
Europe,Germany,S. Schiek,27,66,SG Sonnenhof Großaspach,525000.0,1000.0
Europe,Germany,N. Quaschner,23,66,DSC Arminia Bielefeld,850000.0,2000.0
Europe,Croatia,A. Susac,28,66,VfL Osnabrück,525000.0,1000.0
Europe,Austria,M. Perlak,31,66,SV Mattersburg,575000.0,7000.0
Europe,Germany,D. Schahin,27,66,Roda JC Kerkrade,675000.0,4000.0
Europe,Netherlands,J. Stans,27,66,NAC Breda,675000.0,3000.0
Europe,Denmark,M. Rmer,25,66,SønderjyskE,800000.0,4000.0
South America,Brazil,Ever Rodeiro,33,66,Atlético Clube Goianiense,400000.0,4000.0
Europe,Romania,M. Axente,30,66,Al Faisaly,625000.0,8000.0
Europe,Austria,D. Offenbacher,25,66,Wolfsberger AC,700000.0,4000.0
Europe,Germany,M. Kuhn,25,66,SV Wehen Wiesbaden,775000.0,1000.0
South America,Colombia,Y. Arrechea,36,66,Corporación Club Deportivo Tuluá,90000.0,1000.0
South America,Argentina,S. Naguel,24,66,Racing Club de Avellaneda,850000.0,5000.0
South America,Colombia,C. Mafla,24,66,Atletico Nacional Medellin,700000.0,1000.0
South America,Argentina,L. Di Lorenzo,36,66,Temperley,200000.0,2000.0
Europe,Germany,B. Zolinski,25,66,SC Paderborn 07,800000.0,1000.0
South America,Colombia,Y. Mejia,26,66,Atlético Bucaramanga,700000.0,2000.0
South America,Argentina,M. Caranta,38,66,Talleres de Cordoba,40000.0,2000.0
South America,Brazil,Raphael Doninho,29,66,Clube Atlético Mineiro,625000.0,10000.0
Europe,Germany,M. Farrona Pulido,24,66,SC Fortuna Köln,825000.0,1000.0
Europe,Germany,S. Schafer,23,66,1. FC Magdeburg,725000.0,1000.0
Europe,Austria,T. Murg,22,66,SK Rapid Wien,900000.0,6000.0
Europe,Norway,F. Brustad,28,66,Molde FK,675000.0,3000.0
Europe,Denmark,B. Paulsen,25,66,Hammarby IF,675000.0,2000.0
Europe,France,K. Mayi,24,66,Stade Brestois 29,850000.0,2000.0
Africa,Namibia,M. Starke,26,66,FC Carl Zeiss Jena,750000.0,1000.0
Europe,Germany,M. Engels,23,66,Roda JC Kerkrade,875000.0,3000.0
Europe,Netherlands,S. Floranus,18,66,Sparta Rotterdam,1200000.0,2000.0
Europe,Italy,R. Brosco,26,66,Carpi,650000.0,7000.0
Europe,Spain,Angel,24,66,Real Valladolid,750000.0,2000.0
Asia,Japan,T. Morimoto,29,66,Kawasaki Frontale,650000.0,3000.0
Europe,Austria,D. Toth,30,66,FC Admira Wacker Mödling,475000.0,3000.0
Europe,Germany,A. Geipl,25,66,SSV Jahn Regensburg,675000.0,3000.0
South America,Argentina,L. Barrera,26,66,San Jose Earthquakes,750000.0,3000.0
South America,Colombia,Y. Gomez Andrade,25,66,Unión de Santa Fe,675000.0,4000.0
North America,Canada,R. Teibert,24,66,Vancouver Whitecaps FC,675000.0,2000.0
Europe,Spain,Carlos Martinez,28,66,Lorca Deportiva CF,650000.0,3000.0
Europe,Netherlands,W. Marinus,22,66,PEC Zwolle,875000.0,3000.0
South America,Argentina,M. Figueroa,27,66,Temperley,750000.0,4000.0
Europe,Spain,Adan Gurdiel,23,66,Lorca Deportiva CF,850000.0,2000.0
South America,Argentina,I. Bella,27,66,Arsenal de Sarandí,675000.0,3000.0
Europe,Sweden,F. Beijmo,19,66,Djurgårdens IF,975000.0,1000.0
Europe,Norway,T. Brven,25,66,SK Brann,850000.0,2000.0
South America,Colombia,S. Vega,19,66,CD Los Millionarios Bogota,1200000.0,1000.0
South America,Chile,O. Fisdono,25,66,Curicó Unido,725000.0,2000.0
Europe,Germany,S. Ozcan,18,66,1. FC Köln,1300000.0,5000.0
Europe,Greece,D. Limnios,19,66,PAOK Thessaloniki,1100000.0,1000.0
Europe,Netherlands,E. Lieftink,23,66,Willem II,775000.0,3000.0
Europe,France,R. Lacazette,23,66,SV Darmstadt 98,825000.0,5000.0
Europe,Italy,R. Improta,23,66,Bari,950000.0,8000.0
Europe,Spain,Oriol Busquets,18,66,FC Barcelona B,1200000.0,1000.0
North America,Mexico,D. Arreola,31,66,Club Atlas,425000.0,6000.0
Africa,Cameroon,L. Ngwat Mahop,29,66,SCR Altach,625000.0,5000.0
Asia,Turkey,M. Tas,26,66,Gençlerbirliği SK,700000.0,5000.0
Africa,Ghana,J. Yaro,23,66,Philadelphia Union,850000.0,2000.0
North America,Mexico,J. Barraza,26,66,Club Atlas,775000.0,7000.0
North America,Mexico,O. Arce,27,66,Necaxa,750000.0,15000.0
Europe,Netherlands,F. Noor,22,66,AFC Eskilstuna,875000.0,1000.0
Europe,Poland,M. Wasiluk,30,66,Jagiellonia Białystok,475000.0,3000.0
Europe,Netherlands,T. Verhaar,29,66,Sparta Rotterdam,625000.0,4000.0
South America,Chile,C. Gazale,25,66,Santiago Wanderers,725000.0,2000.0
Asia,Japan,H. Kawano,27,66,Sagan Tosu,675000.0,2000.0
Europe,Germany,F. Muller,30,66,SG Dynamo Dresden,475000.0,4000.0
Asia,Japan,T. Lee,31,66,Urawa Red Diamonds,575000.0,4000.0
Europe,Romania,D. Boldor,22,66,Montreal Impact,750000.0,10000.0
Europe,France,A. Maisonnial,19,66,AS Saint-Étienne,975000.0,3000.0
South America,Brazil,C. Oliveira Souza,21,66,MSV Duisburg,900000.0,2000.0
Europe,Poland,A. Piech,32,66,Śląsk Wrocław,525000.0,3000.0
Europe,Denmark,N. Brock-Madsen,24,66,Birmingham City,850000.0,8000.0
South America,Chile,E. Barrega,29,66,Curicó Unido,650000.0,2000.0
South America,Argentina,G. Ramirez,22,66,Talleres de Cordoba,900000.0,4000.0
South America,Argentina,P. Cuadra,22,66,Racing Club de Avellaneda,1000000.0,5000.0
South America,Argentina,L. Menossi,23,66,Club Atlético Tigre,825000.0,3000.0
Africa,Mali,O. Cisse,26,66,Milton Keynes Dons,650000.0,4000.0
Europe,France,D. Mohamed,28,66,Royal Excel Mouscron,525000.0,4000.0
Europe,Czech Republic,A. Mateju,21,66,Brighton & Hove Albion,850000.0,9000.0
Europe,Germany,K. Pezzoni,28,66,SV Wehen Wiesbaden,575000.0,1000.0
South America,Colombia,J. Moreno,20,66,CD Once Caldas Manizales,975000.0,1000.0
Europe,Germany,A. Engin,20,66,MSV Duisburg,1200000.0,2000.0
Europe,Austria,N. Dovedan,22,66,1. FC Heidenheim,900000.0,5000.0
Europe,France,A. Monfray,26,66,US Orléans Loiret Football,700000.0,2000.0
Europe,Germany,F. Kalig,24,66,FC Erzgebirge Aue,750000.0,2000.0
Europe,France,M. Maouche,24,66,Oldham Athletic,875000.0,2000.0
Asia,Japan,K. Higashi,26,66,F.C. Tokyo,700000.0,4000.0
Europe,Sweden,D. Boo Wiklander,32,66,IFK Göteborg,375000.0,2000.0
Europe,Poland,M. Helik,21,66,Cracovia,750000.0,2000.0
Europe,Italy,E. Torregrossa,25,66,Brescia,825000.0,8000.0
Europe,Germany,J. Fohrenbach,21,66,Karlsruher SC,775000.0,5000.0
North America,Canada,A. Hainault,31,66,1. FC Magdeburg,425000.0,1000.0
Europe,Spain,Claveria,21,66,Málaga CF,825000.0,5000.0
South America,Argentina,B. Pitton,24,66,Unión de Santa Fe,750000.0,3000.0
Europe,Croatia,J. Posavec,21,66,Palermo,925000.0,1000.0
Europe,Poland,T. Cywka,29,66,Wisła Kraków,475000.0,3000.0
Oceania,Australia,L. Thomas,25,66,Melbourne Victory,600000.0,2000.0
Asia,Saudi Arabia,R. Sufyani,30,66,Al Ittihad,600000.0,10000.0
